pitch,start,end,tonalTechnique,articulation,stringId,position,finger
79,14.070455,14.111364,,spiccato,2,3,4
88,14.163636,14.215909,,spiccato,3,4,4
97,14.263636,14.309091,,spiccato,3,5,3
97,14.356818,14.413636,,spiccato,3,5,3
88,14.459091,14.511364,,spiccato,3,4,4
79,14.559091,14.611364,,spiccato,3,1,2
70,14.656818,14.709091,,spiccato,2,1,1
73,14.761364,14.809091,,spiccato,2,1,2
82,14.861364,14.925,,spiccato,3,3,1
91,14.977273,15.006818,,spiccato,3,6,4
100,15.052273,15.097727,,spiccato,3,6,4
100,15.15,15.227273,,spiccato,3,6,4
91,15.272727,15.313636,,spiccato,3,6,4
82,15.365909,15.418182,,spiccato,3,3,2
73,15.470455,15.511364,,spiccato,2,1,2
70,15.563636,15.609091,,spiccato,2,1,1
79,15.656818,15.702273,,spiccato,3,1,2
88,15.75,15.813636,,spiccato,3,4,4
97,15.859091,15.904545,,spiccato,3,5,3
97,15.952273,15.997727,,spiccato,3,5,3
88,16.05,16.102273,,spiccato,3,4,4
79,16.154545,16.206818,,spiccato,3,1,2
70,16.254545,16.306818,,spiccato,2,1,1
67,16.352273,16.404545,,spiccato,1,1,3
76,16.445455,16.490909,,spiccato,2,3,2
85,16.538636,16.595455,,spiccato,3,3,3
94,16.643182,16.684091,,spiccato,3,7,4
94,16.736364,16.793182,,spiccato,3,7,4
85,16.845455,16.893182,,spiccato,3,3,3
76,16.938636,16.997727,,spiccato,2,3,2
67,17.043182,17.102273,,spiccato,1,1,3
64,17.154545,17.2,,spiccato,1,1,1
73,17.247727,17.293182,,spiccato,2,1,2
82,17.345455,17.397727,,spiccato,3,3,1
91,17.45,17.490909,,spiccato,3,6,4
91,17.543182,17.6,,spiccato,3,6,4
82,17.647727,17.704545,,spiccato,3,3,2
73,17.752273,17.820455,,spiccato,2,1,2
64,17.879545,17.925,,spiccato,1,1,1
61,17.984091,18.036364,,spiccato,0,1,3
70,18.088636,18.134091,,spiccato,2,1,1
79,18.186364,18.234091,,spiccato,3,1,2
88,18.279545,18.327273,,spiccato,3,4,4
88,18.372727,18.447727,,spiccato,3,5,3
79,18.495455,18.552273,,spiccato,3,1,2
70,18.604545,18.663636,,spiccato,2,1,1
